pov_ratio_guarantee,phase_out_rate,cost_b,adult_reach,spmu_reach,child_reach,gini,poverty_rate,deep_poverty_rate,child_poverty_rate,child_deep_poverty_rate,adult_poverty_rate,adult_deep_poverty_rate,poverty_gap,squared_poverty_gap,deep_poverty_gap
0.01,0.3,0.016450421902301973,119503.92,100181.31666666668,17125.50333333333,0.4884540804779903,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451103018.539376,93684491804307.69,1436312901.1512465
0.01,0.31,0.016412115712449174,119503.92,100181.31666666668,17125.50333333333,0.4884543140997924,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451141324.729229,93686457306346.19,1436351207.3410993
0.01,0.32,0.016373809522596372,119503.92,100181.31666666668,17125.50333333333,0.48845454772166935,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451179630.919082,93688423195553.73,1436389513.530952
0.01,0.33,0.016335503332743573,119503.92,100181.31666666668,17125.50333333333,0.4884547813436235,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451217937.108934,93690389471930.3,1436427819.7208047
0.01,0.34,0.016297197142890775,119503.92,100181.31666666668,17125.50333333333,0.4884550149656529,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451256243.298787,93692356135475.88,1436466125.9106576
0.01,0.35000000000000003,0.016258890953037973,119503.92,100181.31666666668,17125.50333333333,0.488455248587758,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451294549.48864,93694323186190.5,1436504432.1005106
0.01,0.36,0.016220584763185174,119503.92,100181.31666666668,17125.50333333333,0.4884554822139592,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451332855.678493,93696290624074.12,1436542738.2903633
0.01,0.37,0.016182278573332372,119503.92,100181.31666666668,17125.50333333333,0.4884557158424824,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451371161.868345,93698258449126.78,1436581044.480216
0.01,0.38,0.016143972383479574,119503.92,100181.31666666668,17125.50333333333,0.4884559494730931,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451409468.058199,93700226661348.45,1436619350.670069
0.01,0.39,0.016105666193626775,119503.92,100181.31666666668,17125.50333333333,0.48845618310720285,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451447774.248052,93702195260739.16,1436657656.8599217
0.01,0.4,0.016067780361773972,118803.32333333335,99480.72000000002,16667.196666666667,0.4884564141830028,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451485660.079905,93704144624735.23,1436695542.6917744
0.01,0.41000000000000003,0.016039089280580125,116026.78333333334,98092.45000000001,14291.663333333334,0.4884565892617881,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451514351.161098,93705569977033.94,1436724233.7729683
0.01,0.42,0.016016273305827326,116026.78333333334,98092.45000000001,14291.663333333334,0.4884567285923875,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451537167.135851,93706617970755.47,1436747049.7477212
0.01,0.43,0.015993457331074528,116026.78333333334,98092.45000000001,14291.663333333334,0.4884568679230173,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451559983.110603,93707666117682.38,1436769865.722474
0.01,0.44,0.015970641356321723,116026.78333333334,98092.45000000001,14291.663333333334,0.48845700725563634,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451582799.085356,93708714417814.66,1436792681.6972265
0.01,0.45,0.015947825381568925,116026.78333333334,98092.45000000001,14291.663333333334,0.4884571465903825,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451605615.06011,93709762871152.33,1436815497.6719797
0.01,0.46,0.015925009406816126,116026.78333333334,98092.45000000001,14291.663333333334,0.4884572859307816,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451628431.0348625,93710811477695.38,1436838313.6467323
0.01,0.47000000000000003,0.015902193432063325,116026.78333333334,98092.45000000001,14291.663333333334,0.48845742527824515,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451651247.009615,93711860237443.8,1436861129.6214852
0.01,0.48,0.015881654246110526,115451.83666666668,97517.50333333334,13802.3,0.4884575507416758,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451671786.195568,93712802437397.62,1436881668.807438
0.01,0.49,0.015861753250957726,115451.83666666668,97517.50333333334,13802.3,0.48845767232063614,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451691687.19072,93713714852257.27,1436901569.8025908
0.01,0.5,0.015841852255804926,115451.83666666668,97517.50333333334,13802.3,0.4884577939011702,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451711588.185873,93714627390764.4,1436921470.7977433
0.01,0.51,0.015821951260652126,115451.83666666668,97517.50333333334,13802.3,0.4884579154817268,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451731489.1810255,93715540052919.03,1436941371.7928963
0.01,0.52,0.01580388250716599,114718.94000000002,96784.60666666667,13802.3,0.48845802587283194,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451749557.934512,93716395814779.88,1436959440.5463824
0.01,0.53,0.01578625349167986,114718.94000000002,96784.60666666667,13802.3,0.488458133587741,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451767186.949999,93717238001819.2,1436977069.5618687
0.01,0.54,0.015768624476193725,114718.94000000002,96784.60666666667,13802.3,0.48845824130877663,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451784815.965485,93718080298419.75,1436994698.5773547
0.01,0.55,0.015751443617473965,113979.12000000001,96044.78666666667,12846.096666666668,0.4884583462959502,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451801996.8242035,93718902430214.6,1437011879.4360745
0.01,0.56,0.01573692184598783,113979.12000000001,96044.78666666667,12846.096666666668,0.4884584350609734,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451816518.59569,93719604360986.45,1437026401.2075605
0.01,0.5700000000000001,0.015722400074501697,113979.12000000001,96044.78666666667,12846.096666666668,0.488458523826074,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451831040.367176,93720306375218.69,1437040922.9790468
0.01,0.58,0.015707878303015566,113979.12000000001,96044.78666666667,12846.096666666668,0.48845861259132073,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451845562.138662,93721008472911.27,1437055444.7505329
0.01,0.59,0.015693356531529434,113979.12000000001,96044.78666666667,12846.096666666668,0.4884587013565761,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451860083.910149,93721710654064.2,1437069966.522019
0.01,0.6,0.015678834760043298,113979.12000000001,96044.78666666667,12846.096666666668,0.48845879012292404,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451874605.681635,93722412918677.5,1437084488.2935052
0.01,0.61,0.015664312988557163,113979.12000000001,96044.78666666667,12846.096666666668,0.48845887889167583,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451889127.453121,93723115266751.17,1437099010.0649912
0.01,0.62,0.01564979121707103,113979.12000000001,96044.78666666667,12846.096666666668,0.48845896766043667,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451903649.224607,93723817698285.19,1437113531.8364773
0.01,0.63,0.015635269445584896,113979.12000000001,96044.78666666667,12846.096666666668,0.488459056429211,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451918170.996094,93724520213279.58,1437128053.6079636
0.01,0.64,0.015620747674098764,113979.12000000001,96044.78666666667,12846.096666666668,0.48845914520330563,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451932692.76758,93725222811734.31,1437142575.3794496
0.01,0.65,0.01560622590261263,113979.12000000001,96044.78666666667,12846.096666666668,0.4884592339786278,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451947214.539066,93725925493649.44,1437157097.1509356
0.01,0.66,0.015591704131126498,113979.12000000001,96044.78666666667,12846.096666666668,0.48845932275396575,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451961736.310552,93726628259024.9,1437171618.922422
0.01,0.67,0.015577182359640366,113979.12000000001,96044.78666666667,12846.096666666668,0.4884594115326647,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451976258.082038,93727331107860.72,1437186140.6939082
0.01,0.68,0.015562660588154231,113979.12000000001,96044.78666666667,12846.096666666668,0.4884595003200071,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451990779.853524,93728034040156.92,1437200662.4653943
0.01,0.6900000000000001,0.015549546100175126,111467.26,95389.30666666667,11202.046666666667,0.48845958052569105,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452003894.341503,93728624928127.81,1437213776.9533732
0.01,0.7000000000000001,0.01553888510588899,111467.26,95389.30666666667,11202.046666666667,0.4884596457698775,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452014555.335789,93729020382110.1,1437224437.9476595
0.01,0.71,0.015528224111602857,111467.26,95389.30666666667,11202.046666666667,0.4884597110140723,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452025216.330075,93729415874072.77,1437235098.9419456
0.01,0.72,0.015517563117316722,111467.26,95389.30666666667,11202.046666666667,0.48845977625827347,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452035877.324361,93729811404015.84,1437245759.9362316
0.01,0.73,0.015508179336152608,110595.04666666668,94517.09333333334,11202.046666666667,0.48845983368050117,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452045261.105525,93730168508588.02,1437255143.7173958
0.01,0.74,0.015499360072652608,110595.04666666668,94517.09333333334,11202.046666666667,0.4884598876493894,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452054080.369026,93730508644070.73,1437263962.980896
0.01,0.75,0.015490540809152608,110595.04666666668,94517.09333333334,11202.046666666667,0.4884599416213584,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452062899.632526,93730848809756.02,1437272782.2443957
0.01,0.76,0.015481721545652609,110595.04666666668,94517.09333333334,11202.046666666667,0.4884599955933282,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452071718.896026,93731189005643.86,1437281601.507896
0.01,0.77,0.015472902282152609,110595.04666666668,94517.09333333334,11202.046666666667,0.4884600495731731,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452080538.159525,93731529231734.25,1437290420.771396
0.01,0.78,0.015464083018652607,110595.04666666668,94517.09333333334,11202.046666666667,0.4884601035537636,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452089357.423025,93731869488027.19,1437299240.034896
0.01,0.79,0.015455263755152607,110595.04666666668,94517.09333333334,11202.046666666667,0.4884601575354481,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452098176.686525,93732209774522.69,1437308059.2983959
0.01,0.8,0.015447916016985941,108755.64000000001,92677.68666666668,11202.046666666667,0.48846020250885547,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452105524.424692,93732502895283.03,1437315407.0365624
0.01,0.81,0.015442849143085942,108755.64000000001,92677.68666666668,11202.046666666667,0.4884602335157645,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452110591.298592,93732722881885.69,1437320473.9104624
0.01,0.8200000000000001,0.015437782269185941,108755.64000000001,92677.68666666668,11202.046666666667,0.488460264525813,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452115658.172493,93732942883381.16,1437325540.7843623
0.01,0.8300000000000001,0.015432715395285942,108755.64000000001,92677.68666666668,11202.046666666667,0.4884602955361658,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452120725.046392,93733162899769.4,1437330607.6582625
0.01,0.84,0.01542764852138594,108755.64000000001,92677.68666666668,11202.046666666667,0.4884603265465226,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452125791.920292,93733382931050.5,1437335674.5321627
0.01,0.85,0.01542258164748594,108755.64000000001,92677.68666666668,11202.046666666667,0.48846035755735256,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452130858.794192,93733602977224.38,1437340741.4060626
0.01,0.86,0.015417514773585942,108755.64000000001,92677.68666666668,11202.046666666667,0.48846038857633683,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452135925.668093,93733823038291.06,1437345808.2799625
0.01,0.87,0.015412447899685941,108755.64000000001,92677.68666666668,11202.046666666667,0.4884604195965551,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452140992.541992,93734043114250.56,1437350875.1538625
0.01,0.88,0.015407381025785942,108755.64000000001,92677.68666666668,11202.046666666667,0.48846045061677534,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452146059.415893,93734263205102.84,1437355942.0277624
0.01,0.89,0.01540231415188594,108755.64000000001,92677.68666666668,11202.046666666667,0.4884604816369992,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452151126.289793,93734483310847.97,1437361008.9016626
0.01,0.9,0.015397247277985941,108755.64000000001,92677.68666666668,11202.046666666667,0.4884605126572218,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452156193.163692,93734703431485.86,1437366075.7755625
0.01,0.91,0.015392180404085942,108755.64000000001,92677.68666666668,11202.046666666667,0.48846054367744424,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452161260.037592,93734923567016.58,1437371142.6494625
0.01,0.92,0.015387113530185941,108755.64000000001,92677.68666666668,11202.046666666667,0.4884605746976745,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452166326.911492,93735143717440.1,1437376209.5233624
0.01,0.93,0.01538204665628594,108755.64000000001,92677.68666666668,11202.046666666667,0.48846060571790095,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452171393.785393,93735363882756.4,1437381276.3972626
0.01,0.9400000000000001,0.015376979782385941,108755.64000000001,92677.68666666668,11202.046666666667,0.48846063673812873,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452176460.659292,93735584062965.55,1437386343.2711625
0.01,0.9500000000000001,0.015371912908485942,108755.64000000001,92677.68666666668,11202.046666666667,0.48846066775836117,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452181527.533192,93735804258067.47,1437391410.1450624
0.01,0.96,0.015366846034585942,108755.64000000001,92677.68666666668,11202.046666666667,0.4884606987789167,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452186594.407092,93736024468062.22,1437396477.0189624
0.01,0.97,0.01536177916068594,108755.64000000001,92677.68666666668,11202.046666666667,0.48846072979970406,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452191661.2809925,93736244692949.77,1437401543.8928626
0.01,0.98,0.015356712286785942,108755.64000000001,92677.68666666668,11202.046666666667,0.4884607608204941,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452196728.154892,93736464932730.11,1437406610.7667625
0.01,0.99,0.015351645412885941,108755.64000000001,92677.68666666668,11202.046666666667,0.4884607918412836,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452201795.028792,93736685187403.28,1437411677.6406627
0.01,1.0,0.015346578538985942,108755.64000000001,92677.68666666668,11202.046666666667,0.48846082286207515,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6452206861.902693,93736905456969.23,1437416744.5145626
0.02,0.0,1.7213659099478915,6660054.133333334,3712855.166666667,1739910.1600000001,0.4856086209797907,0.19366276012519304,0.04697954097017574,0.22120627385343467,0.038919116758687505,0.18646713702387122,0.04908529171915039,6132888621.982334,88185547071610.47,1366936125.9889386
0.02,0.01,0.4110629894009674,3464960.006666667,1940961.8066666666,1187642.3566666667,0.4868990677862637,0.19799610076755217,0.047481983185319,0.23065635948314325,0.038919116758687505,0.18946375030465215,0.04971899477653895,6236644745.583534,89452784777897.5,1374861320.3840203
0.02,0.02,0.12919918104157838,1285708.19,751267.7566666666,409106.2766666667,0.4878589412547223,0.20176448464331728,0.047976248381576464,0.23513069011946378,0.038919116758687505,0.19304770866126691,0.050342384604441445,6343993030.239185,90766970696559.73,1382996256.0243294
0.02,0.03,0.07396159158053303,557595.05,351123.8533333334,133117.1433333333,0.4881181735894587,0.20176448464331728,0.0493696618443721,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05171409217374529,6399230619.70023,91796223388305.84,1391570927.4280937
0.02,0.04,0.057806757387631566,347218.30333333334,232949.28999999998,70284.74333333333,0.48820473772265244,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6415385453.893131,92275506330451.4,1400595336.5050015
